Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-04-21 12:15:23,"person, person",-6.4,106.8186,,
2025-04-21 12:15:23,"person, person",-6.4,106.8186,,
2025-04-21 12:15:24,"person, person",-6.4,106.8186,,
2025-04-21 12:15:24,"person, person",-6.4,106.8186,,
2025-04-21 12:15:25,"person, person",-6.4,106.8186,,
2025-04-21 12:15:26,"person, person",-6.4,106.8186,,
2025-04-21 12:15:26,"person, person",-6.4,106.8186,,
2025-04-21 12:15:27,"person, person",-6.4,106.8186,,
2025-04-21 12:15:28,"person, person",-6.4,106.8186,,
2025-04-21 12:15:28,"person, person",-6.4,106.8186,,
2025-04-21 12:15:28,"person, person",-6.4,106.8186,,
2025-04-21 12:15:30,"person, person",-6.4,106.8186,,
2025-04-21 12:15:35,"person, person, person, person",,,,
2025-04-21 12:15:37,"person, person, person",-6.4,106.8186,,
2025-04-21 12:15:38,"person, person",-6.4,106.8186,,
2025-04-21 12:15:42,"person, person, person",-6.4,106.8186,,
2025-04-21 12:15:46,"person, person",-6.4,106.8186,,
2025-04-21 12:15:52,"person, person",-6.4,106.8186,,
2025-04-21 12:15:54,"person, person, person",-6.4,106.8186,,
2025-04-21 12:15:56,"person, person, person",-6.4,106.8186,,
